ID,Area programa educativo,Titulo egresado
650,Sin clasificar,PROFESIONAL EN CIENCIA POLÍTICA Y GOBIERNO
651,Comunicación social periodismo y afines,COMUNICADOR SOCIAL- PERIODISTA
652,Contaduría pública,CONTADOR PUBLICO
653,Derecho y afines,ABOGADO
654,Diseño,DISEÑADOR GRAFICO
655,Sin clasificar,DISE¿ADOR HIPERMEDIA
656,Economía,ECONOMISTA
657,Matemáticas estadística y afines,PROFESIONAL EN ESTADÍSTICA
658,Ingeniería mecánica y afines,INGENIERO AERONAUTICO
659,Ingeniería de sistemas telemática y afines,INGENIERO DE SISTEMAS
660,Ingeniería electrónica telecomunicaciones y afines,INGENIERO ELECTRONICO
661,Ingeniería industrial y afines,INGENIERO INDUSTRIAL
662,Ingeniería mecánica y afines,INGENIERO MECANICO
663,Sin clasificar,INGENIERO EN MECATRÓNICA
664,Educación,LICENCIADO EN EDUCACION ESPECIAL
665,Educación,LICENCIADO EN EN EDUCACIÓN INFANTIL
666,Psicología,PSICOLOGO
667,Publicidad y afines,PROFESIONAL EN PUBLICIDAD Y MERCADEO
668,Sin clasificar,ADMINISTRADOR DE AGRONEGOCIOS
669,Administración,ADMINISTRADOR DE EMPRESAS
670,Administración,PROFESIONAL EN ADMINISTRACIÓN HOTELERA Y GASTRONÓMICA
671,Administración,ADMINISTRADOR PÚBLICO
672,Artes representativas,MAESTRO EN ARTES DE LA ESCENA
673,Sin clasificar,COMUNICADOR SOCIAL
674,Comunicación social periodismo y afines,COMUNICADOR SOCIAL - PERIODISTA
675,Contaduría pública,CONTADOR PUBLICO
676,Contaduría pública,CONTADOR PÚBLICO
677,Derecho y afines,ABOGADO
678,Diseño,PROFESIONAL EN DISEÑO DE MODAS
679,Diseño,PROFESIONAL EN DISEÑO GRÁFICO
680,Diseño,DISEÑADOR INDUSTRIAL
681,Economía,ECONOMISTA
682,Administración,PROFESIONAL EN FINANZAS
683,Ingeniería de sistemas telemática y afines,INGENIERO DE SISTEMAS
684,Ingeniería de sistemas telemática y afines,INGENIERO DE SOFTWARE
